freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.955e+02,5.461e+01,3.136e+01,4.814e+02
1.5,2.700e+02,2.149e+02,6.878e+01,5.537e+02
3.0,7.459e+01,2.118e+02,6.474e+01,3.511e+02
4.5,3.337e+02,1.782e+02,5.693e+01,5.689e+02
6.0,1.196e+03,2.109e+02,6.825e+01,1.475e+03
7.6,1.883e+03,2.481e+02,6.815e+01,2.199e+03
9.1,2.654e+03,2.223e+02,6.373e+01,2.940e+03
10.6,3.771e+03,2.525e+02,5.541e+01,4.079e+03
12.1,5.140e+03,2.176e+02,5.671e+01,5.414e+03
13.6,6.717e+03,2.673e+02,7.022e+01,7.054e+03
15.1,8.714e+03,2.641e+02,6.003e+01,9.038e+03
16.6,1.087e+04,2.721e+02,6.829e+01,1.121e+04
18.1,1.306e+04,2.567e+02,7.026e+01,1.339e+04
19.7,1.551e+04,2.458e+02,7.777e+01,1.583e+04
21.2,1.822e+04,3.152e+02,8.139e+01,1.862e+04
22.7,2.132e+04,3.314e+02,8.743e+01,2.174e+04
24.2,2.504e+04,3.185e+02,9.069e+01,2.544e+04
25.7,2.941e+04,3.177e+02,1.159e+02,2.984e+04
27.2,3.508e+04,4.629e+02,1.706e+02,3.572e+04
28.7,3.987e+04,5.729e+02,2.038e+02,4.065e+04
30.2,4.643e+04,6.271e+02,2.562e+02,4.732e+04
31.8,5.605e+04,8.247e+02,4.120e+02,5.729e+04
33.3,6.692e+04,1.100e+03,6.252e+02,6.865e+04
34.8,7.802e+04,1.358e+03,8.989e+02,8.027e+04
36.3,9.700e+04,1.963e+03,1.557e+03,1.005e+05
37.8,1.242e+05,2.871e+03,2.516e+03,1.296e+05
39.3,1.577e+05,3.806e+03,3.163e+03,1.647e+05
40.8,1.844e+05,4.785e+03,3.052e+03,1.922e+05
42.3,2.114e+05,6.299e+03,5.196e+03,2.229e+05
43.9,2.751e+05,1.036e+04,1.187e+04,2.974e+05
45.4,3.579e+05,1.579e+04,1.997e+04,3.937e+05
