freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.147e+01,3.162e+02,5.223e+01,3.799e+02
1.5,5.126e+01,1.950e+02,5.085e+01,2.971e+02
3.0,6.293e+01,4.057e+01,3.243e+01,1.359e+02
4.6,6.559e+01,3.616e+02,3.396e+01,4.612e+02
6.1,5.805e+01,1.400e+03,2.858e+01,1.487e+03
7.6,6.261e+01,2.298e+03,3.029e+01,2.391e+03
9.1,6.554e+01,2.876e+03,3.690e+01,2.978e+03
10.7,6.555e+01,3.858e+03,3.566e+01,3.959e+03
12.2,6.733e+01,5.446e+03,3.551e+01,5.549e+03
13.7,7.099e+01,7.421e+03,3.692e+01,7.529e+03
15.2,6.955e+01,9.554e+03,3.993e+01,9.664e+03
16.7,6.736e+01,1.207e+04,4.417e+01,1.218e+04
18.3,6.129e+01,1.511e+04,4.922e+01,1.522e+04
19.8,6.560e+01,1.882e+04,4.389e+01,1.893e+04
21.3,8.929e+01,2.250e+04,4.107e+01,2.263e+04
22.8,9.783e+01,2.625e+04,4.431e+01,2.639e+04
24.3,7.982e+01,3.111e+04,4.893e+01,3.123e+04
25.9,6.843e+01,3.791e+04,5.769e+01,3.804e+04
27.4,6.461e+01,4.955e+04,8.410e+01,4.970e+04
28.9,6.575e+01,6.380e+04,1.369e+02,6.400e+04
30.4,6.311e+01,8.935e+04,2.895e+02,8.971e+04
32.0,6.962e+01,1.283e+05,5.721e+02,1.290e+05
33.5,7.360e+01,1.723e+05,1.225e+03,1.736e+05
35.0,7.549e+01,2.492e+05,2.734e+03,2.520e+05
36.5,1.213e+02,4.480e+05,8.258e+03,4.563e+05
38.0,1.988e+02,7.978e+05,2.268e+04,8.207e+05
39.6,2.575e+02,8.844e+05,3.658e+04,9.212e+05
41.1,2.913e+02,6.509e+05,4.291e+04,6.941e+05
42.6,2.458e+02,4.713e+05,4.803e+04,5.196e+05
44.1,1.308e+02,3.328e+05,5.317e+04,3.862e+05
45.6,1.125e+02,2.350e+05,5.593e+04,2.910e+05
47.2,1.470e+02,1.629e+05,5.829e+04,2.214e+05
48.7,2.072e+02,1.112e+05,6.695e+04,1.783e+05
50.2,4.721e+02,8.196e+04,8.090e+04,1.633e+05
51.7,8.395e+02,7.246e+04,8.709e+04,1.604e+05
53.3,8.131e+02,6.928e+04,7.616e+04,1.463e+05
54.8,5.265e+02,6.508e+04,6.770e+04,1.333e+05
56.3,4.854e+02,6.578e+04,7.609e+04,1.423e+05
57.8,6.969e+02,9.011e+04,9.862e+04,1.894e+05
59.3,8.618e+02,1.608e+05,1.402e+05,3.018e+05
60.9,9.090e+02,3.103e+05,2.047e+05,5.159e+05
62.4,5.453e+02,4.431e+05,2.337e+05,6.774e+05
63.9,3.306e+02,4.490e+05,1.978e+05,6.471e+05
65.4,5.381e+02,4.113e+05,1.564e+05,5.683e+05
66.9,1.087e+03,3.249e+05,1.117e+05,4.377e+05
68.5,1.709e+03,2.632e+05,8.325e+04,3.482e+05
70.0,2.008e+03,2.095e+05,6.148e+04,2.730e+05
71.5,1.819e+03,1.624e+05,4.578e+04,2.100e+05
73.0,1.572e+03,1.194e+05,3.342e+04,1.544e+05
74.6,1.480e+03,7.363e+04,1.989e+04,9.500e+04
76.1,1.477e+03,5.412e+04,1.441e+04,7.001e+04
77.6,1.519e+03,4.720e+04,1.339e+04,6.211e+04
79.1,1.455e+03,4.201e+04,1.307e+04,5.653e+04
80.6,1.342e+03,3.953e+04,1.273e+04,5.360e+04
82.2,1.536e+03,3.187e+04,1.228e+04,4.569e+04
83.7,1.895e+03,2.470e+04,1.190e+04,3.850e+04
85.2,1.726e+03,2.114e+04,1.135e+04,3.421e+04
86.7,1.218e+03,1.807e+04,1.024e+04,2.953e+04
88.2,1.033e+03,1.784e+04,8.777e+03,2.765e+04
89.8,1.844e+03,1.979e+04,7.902e+03,2.954e+04
91.3,2.304e+03,2.081e+04,7.645e+03,3.076e+04
92.8,2.183e+03,2.780e+04,7.084e+03,3.706e+04
94.3,2.547e+03,4.113e+04,6.643e+03,5.032e+04
95.9,2.775e+03,6.196e+04,5.855e+03,7.059e+04
97.4,2.963e+03,8.120e+04,3.795e+03,8.796e+04
98.9,2.947e+03,8.664e+04,1.732e+03,9.132e+04
100.4,3.425e+03,8.654e+04,1.936e+03,9.191e+04
101.9,3.501e+03,9.855e+04,2.546e+03,1.046e+05
103.5,3.168e+03,1.077e+05,2.334e+03,1.132e+05
105.0,3.181e+03,1.081e+05,1.899e+03,1.132e+05
106.5,2.684e+03,1.098e+05,1.657e+03,1.141e+05
108.0,2.175e+03,1.097e+05,1.306e+03,1.131e+05
109.5,1.770e+03,1.043e+05,9.870e+02,1.070e+05
111.1,1.721e+03,9.681e+04,9.389e+02,9.947e+04
112.6,1.657e+03,9.204e+04,8.303e+02,9.453e+04
114.1,1.641e+03,1.042e+05,6.911e+02,1.065e+05
